Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms),Month,Year_Month
2025-04-06,84.0,1790.0425102035474,5510.741134194485,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7396839279485506,1.8121124665221808,0.2544226951384902,7300.0,0.0,0.0,0.0,0.0,3844111.0,137100.0,April,2025-04
2025-04-07,31.0,1695.40337825169,2629.5129033572257,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4911874914827642,1.4924679612307468,0.2665380615736564,3448.0,0.0,0.0,0.0,0.0,2201596.0,0.0,April,2025-04
2025-04-08,21.0,1642.2173237124891,1155.5026310705614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5742424465935696,1.3398300028882382,0.2544226951384902,1779.0,0.0,0.0,0.0,0.0,1095925.0,0.0,April,2025-04
2025-04-09,39.0,1682.863284774805,2564.5149573908507,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6466774487391226,2.394969510790754,0.2523200797306684,3585.0,0.0,0.0,0.0,0.0,1282765.0,271951.0,April,2025-04
2025-04-10,1.0,1598.4550337466867,170.09974474973347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4279683452048659,0.6388962768544676,0.2544226951384902,340.0,0.0,0.0,0.0,0.0,186164.0,0.0,April,2025-04
2025-04-11,48.0,1729.5128312961772,4023.101262839206,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.321909134695896,1.6864721254366728,0.3634609870520174,5094.0,0.0,0.0,0.0,0.0,2908218.0,0.0,April,2025-04
2025-04-12,26.0,1636.6680491709217,1522.611717774609,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416533045886015,1.5715729903164963,0.2665380615736564,2183.0,0.0,0.0,0.0,0.0,980565.0,0.0,April,2025-04
2025-04-13,0.0,1589.4999850988388,38.52686526382852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5654751171421287,0.767489276435868,0.3634609578483895,139.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-14,0.0,1589.4999850988388,39.25378724993849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390328442523995,0.3634609578483895,0.3146047306564096,80.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-15,0.0,872.6828164018094,26.16919149995899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8672423592488038,0.957621527235042,0.7768631912625655,63.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
